ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
1,0,3,2,V1,3,V4,3,V0,600,1,V2,V1,yes,4754,V3,1,V4,F,V2,V2,22,T,0,V1,1,V2,45912,V2,,,600,V1,V2
2,1,20,1,V2,4,V4,20,V4,5003,1,V3,V1,yes,4647,V1,1,V4,F,V5,V3,29,T,0,V2,2,V0,24738,V5,,,5003,V2,V2
3,0,11,1,V4,3,V3,11,V4,3398,2,V4,V1,yes,4510,V3,1,V3,F,V2,V5,36,T,0,V2,1,V3,33726,V2,,,3398,V1,V3
4,0,10,2,V3,2,V4,10,V2,1597,3,V2,V1,no,5098,V3,1,V4,F,V2,V3,40,T,0,V1,1,V0,4466,V2,,,1597,V1,V3
5,0,15,1,V4,2,V4,15,V4,1978,4,V3,V1,yes,4461,V3,1,V4,F,V2,V5,34,T,0,V2,1,V3,35051,V2,,,1978,V1,V3
6,0,11,1,V1,3,V3,11,V3,408,3,V3,V1,yes,5630,V3,1,V3,F,V1,V3,41,T,0,V1,2,V3,108900,V1,,,408,V1,V2
7,0,9,1,V1,4,V1,9,V0,1137,4,V2,V1,yes,4594,V3,1,V1,F,V4,V3,24,T,0,V2,2,V3,16705,V4,,,1137,V1,V3
8,0,20,1,V4,3,V1,20,V0,1601,4,V3,V1,yes,4940,V3,1,V1,F,V4,V5,29,T,0,V2,2,V0,38599,V4,,,1601,V2,V4
9,0,23,1,V1,2,V4,23,V3,5804,4,V3,V1,yes,4118,V3,1,V4,F,V4,V3,26,T,0,V2,2,V1,22343,V4,,,5804,V1,V3
10,0,12,1,V1,2,V1,12,V0,1656,2,V3,V1,yes,6024,V3,1,V1,F,V2,V3,27,T,0,V2,1,V2,52379,V2,,,1656,V1,V3
11,0,15,1,V2,2,V4,15,V0,3594,1,V2,V1,yes,4384,V3,1,V4,F,V3,V2,46,T,0,V2,2,V1,28403,V3,,,3594,V1,V2
12,0,9,1,V3,4,V4,9,V2,2507,2,V2,V1,yes,3793,V3,1,V4,F,V2,V5,51,T,0,V3,1,V0,26942,V2,,,2507,V1,V3
13,0,11,1,V1,1,V4,11,V0,763,4,V3,V1,yes,3976,V3,1,V4,F,V2,V3,25,T,0,V2,1,V2,19913,V2,,,763,V2,V2
14,1,11,1,V2,1,V1,11,V1,673,4,V3,V1,yes,4987,V3,1,V1,F,V2,V4,19,T,0,V2,1,V3,36281,V2,,,673,V1,V4
15,1,9,2,V3,4,V2,9,V0,5128,2,V4,V1,yes,4189,V1,1,V2,F,V1,V5,73,T,0,V3,1,V1,16453,V1,,,5128,V2,V2
16,0,11,1,V2,4,V4,11,V4,5801,2,V3,V1,yes,4314,V3,1,V4,F,V4,V5,48,T,0,V1,1,V2,54342,V4,,,5801,V2,V3
17,1,17,1,V1,2,V1,17,V0,3189,2,V3,V1,yes,5718,V3,1,V1,F,V2,V3,23,T,0,V2,1,V3,30468,V2,,,3189,V1,V2
18,0,14,2,V4,4,V1,14,V0,1478,4,V3,V1,yes,4607,V3,1,V1,F,V4,V5,44,T,0,V2,2,V2,40699,V4,,,1478,V2,V3
19,1,24,2,V1,2,V3,24,V4,1343,4,V2,V1,yes,4465,V1,1,V3,F,V4,V4,37,T,0,V2,2,V0,32762,V4,,,1343,V1,V3
20,0,23,2,V2,4,V4,23,V4,6842,2,V4,V1,yes,7106,V3,1,V4,F,V4,V3,45,T,0,V2,2,V1,11930,V4,,,6842,V2,V3
21,1,18,1,V4,2,V2,18,V0,1244,4,V3,V1,yes,2717,V3,1,V2,F,V4,V3,32,T,0,V2,1,V3,10092,V4,,,1244,V1,V4
22,1,30,1,V1,1,V4,30,V4,7485,4,V4,V1,yes,4556,V1,1,V4,F,V1,V1,52,T,0,V2,1,V1,20903,V1,,,7485,V2,V2
23,0,8,1,V4,2,V4,8,V0,1448,3,V3,V1,yes,4472,V3,1,V4,F,V2,V4,27,T,0,V2,2,V9,17188,V2,,,1448,V1,V2
24,0,18,1,V2,1,V3,18,V0,3049,1,V2,V1,yes,4258,V2,1,V3,F,V2,V2,45,T,0,V2,1,V2,15674,V2,,,3049,V1,V2
25,0,16,1,V4,3,V2,16,V0,1174,2,V1,V1,yes,6535,V3,1,V2,F,V4,V1,67,T,0,V3,3,V0,56367,V4,,,1174,V2,V3
